电影名称,评分,评价人数,上映年份,电影类型,导演/主演,剧情简介
告白,8.8,737424,2010,"剧情, 悬疑",中岛哲也 Tetsuya Nakashima / 松隆子 Takako Matsu / 冈田将生 ...,没有一人完全善，也没有一人完全恶。
玛丽和麦克斯,9.0,466191,2009,"剧情, 喜剧, 动画",亚当·艾略特 Adam Elliot / 托妮·科莱特 Toni Collette / 菲利...,你是我最好的朋友，你是我唯一的朋友 。
头号玩家,8.6,1503685,2018,"动作, 科幻, 冒险",史蒂文·斯皮尔伯格 Steven Spielberg / 泰伊·谢里丹 Tye Sheri...,写给影迷，动漫迷和游戏迷的一封情书。
七武士,9.3,232321,1954,"动作, 冒险, 剧情",黑泽明 Akira Kurosawa / 三船敏郎 Toshirô Mifune / 志村乔 ...,
模仿游戏,8.8,714943,2014,"剧情, 传记, 战争, 同性",莫滕·泰杜姆 Morten Tyldum / 本尼迪克特·康伯巴奇 Benedict C...,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
大鱼,8.8,622132,2003,"剧情, 爱情, 奇幻, 冒险",蒂姆·波顿 Tim Burton / 伊万·麦克格雷格 Ewan McGregor / 阿...,
惊魂记,9.0,351184,1960,"悬疑, 惊悚, 恐怖",阿尔弗雷德·希区柯克 Alfred Hitchcock / 安东尼·博金斯 Antho...,
射雕英雄传之东成西就,8.7,712350,1993,"喜剧, 奇幻, 武侠, 古装",刘镇伟 Jeffrey Lau / 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,
血战钢锯岭,8.7,853593,2016,"剧情, 传记, 历史, 战争",梅尔·吉布森 Mel Gibson / 安德鲁·加菲尔德 Andrew Garfield /...,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
你的名字。,8.5,1579655,2016,"剧情, 爱情, 动画",新海诚 Makoto Shinkai / 神木隆之介 Ryûnosuke Kamiki / 上...,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
心灵奇旅,8.7,1129435,2020,"动画, 奇幻, 音乐",彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers / 杰米·...,
我是山姆,9.0,373099,2001,"剧情, 家庭",杰茜·尼尔森 Jessie Nelson / Sean Penn / Dakota Fanning / Mi...,
