电影名称,评分,评价人数,上映年份,电影类型,导演/主演,剧情简介
教父,9.3,1090186,1972,"剧情, 犯罪",弗朗西斯·福特·科波拉 Francis Ford Coppola / 马龙·白兰度 M...,千万不要记恨你的对手，这样会让你失去理智。
当幸福来敲门,9.1,1667848,2006,"剧情, 传记, 家庭",加布里尔·穆奇诺 Gabriele Muccino / 威尔·史密斯 Will Smith ...,平民励志片。
末代皇帝,9.3,1013645,1987,"剧情, 传记, 历史",贝纳尔多·贝托鲁奇 Bernardo Bertolucci / 尊龙 John Lone / 陈...,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
哈利·波特与魔法石,9.2,1398258,2001,"奇幻, 冒险",Chris Columbus / Daniel Radcliffe / Emma Watson / Rupert Grint,童话世界的开端。
龙猫,9.2,1394951,1988,"动画, 奇幻, 冒险",宫崎骏 Hayao Miyazaki / 日高法子 Noriko Hidaka / 坂本千夏 Ch...,人人心中都有个龙猫，童年就永远不会消失。
活着,9.3,956782,1994,"剧情, 历史, 家庭",张艺谋 Yimou Zhang / 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,张艺谋最好的电影。
怦然心动,9.1,2026498,2010,"剧情, 喜剧, 爱情",罗伯·莱纳 Rob Reiner / 玛德琳·卡罗尔 Madeline Carroll / 卡...,真正的幸福是来自内心深处。
蝙蝠侠：黑暗骑士,9.2,1178488,2008,"剧情, 动作, 科幻, 犯罪, 惊悚",克里斯托弗·诺兰 Christopher Nolan / 克里斯蒂安·贝尔 Christ...,无尽的黑暗。
指环王3：王者无敌,9.3,898042,2003,"剧情, 动作, 奇幻, 冒险",彼得·杰克逊 Peter Jackson / 伊利亚·伍德 Elijah Wood / 西恩...,史诗的终章。
我不是药神,9.0,2325211,2018,"剧情, 喜剧",文牧野 Muye Wen / 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,对我们国家而言，这样的电影多一部是一部。
乱世佳人,9.3,781987,1939,"剧情, 历史, 爱情, 战争",维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor / 费...,Tomorrow is another day.
飞屋环游记,9.1,1479182,2009,"剧情, 喜剧, 动画, 冒险",彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson / 爱德...,最后那些最无聊的事情，才是最值得怀念的。
让子弹飞,9.0,1897933,2010,"剧情, 喜剧, 动作, 西部",姜文 Wen Jiang / 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,你给我翻译翻译，神马叫做TMD的惊喜。
哈尔的移动城堡,9.1,1269395,2004,"爱情, 动画, 奇幻, 冒险",宫崎骏 Hayao Miyazaki / 倍赏千惠子 Chieko Baishô / 木村拓...,带着心爱的人在天空飞翔。
十二怒汉,9.4,568868,1957,剧情,西德尼·吕美特 Sidney Lumet / 亨利·方达 Henry Fonda / 马丁...,1957年的理想主义。
海蒂和爷爷,9.3,761559,2015,"剧情, 冒险, 家庭",阿兰·葛斯彭纳 Alain Gsponer / 阿努克·斯特芬 Anuk Steffen /...,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
素媛,9.3,766756,2013,剧情,李濬益 Jun-ik Lee / 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
猫鼠游戏,9.1,1190162,2002,"传记, 犯罪, 剧情",史蒂文·斯皮尔伯格 Steven Spielberg / 莱昂纳多·迪卡普里奥 L...,骗子大师和执著警探的你追我跑故事。
天空之城,9.2,996519,1986,"动画, 奇幻, 冒险",宫崎骏 Hayao Miyazaki / 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,对天空的追逐，永不停止。
鬼子来了,9.3,705974,2000,"剧情, 喜剧",姜文 Wen Jiang / 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,对敌人的仁慈，就是对自己残忍。
摔跤吧！爸爸,9.0,1725310,2016,"剧情, 传记, 运动, 家庭",涅提·蒂瓦里 Nitesh Tiwari / 阿米尔·汗 Aamir Khan / 法缇玛...,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
少年派的奇幻漂流,9.1,1474727,2012,"剧情, 奇幻, 冒险",李安 Ang Lee / 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,瑰丽壮观、无人能及的冒险之旅。
钢琴家,9.3,739024,2002,"剧情, 传记, 战争, 音乐",罗曼·波兰斯基 Roman Polanski / 艾德里安·布洛迪 Adrien Brod...,
指环王2：双塔奇兵,9.2,845395,2002,"剧情, 动作, 奇幻, 冒险",彼得·杰克逊 Peter Jackson / 伊利亚·伍德 Elijah Wood / 西恩...,承前启后的史诗篇章。
死亡诗社,9.2,864030,1989,剧情,彼得·威尔 Peter Weir / 罗宾·威廉姆斯 Robin Williams / 罗伯...,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
大话西游之月光宝盒,9.0,1348921,1995,"喜剧, 爱情, 奇幻, 古装",刘镇伟 Jeffrey Lau / 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,
何以为家,9.1,1151369,2018,剧情,娜丁·拉巴基 Nadine Labaki / 扎因·拉费阿 Zain al-Rafeea / ...,凝视卑弱生命，用电影改变命运。
绿皮书,8.9,1866559,2018,"剧情, 喜剧, 传记, 音乐",彼得·法雷里 Peter Farrelly / 维果·莫腾森 Viggo Mortensen /...,去除成见，需要勇气。
闻香识女人,9.1,1008907,1992,剧情,马丁·布莱斯 Martin Brest / 阿尔·帕西诺 Al Pacino / 克里斯...,
大闹天宫,9.4,502279,0,未知,万籁鸣 Laiming Wan / 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,
黑客帝国,9.1,937043,1999,"动作, 科幻",,
指环王1：护戒使者,9.1,947023,2001,"剧情, 动作, 奇幻, 冒险",彼得·杰克逊 Peter Jackson / 伊利亚·伍德 Elijah Wood / 西恩...,
罗马假日,9.1,1037409,1953,"喜剧, 剧情, 爱情",威廉·惠勒 William Wyler / 奥黛丽·赫本 Audrey Hepburn / 格...,
教父2,9.3,629589,1974,"剧情, 犯罪",弗朗西斯·福特·科波拉 Francis Ford Coppola / 阿尔·帕西诺 A...,
狮子王,9.1,948413,1994,"动画, 冒险, 歌舞",Roger Allers / 罗伯·明可夫 Rob Minkoff / 乔纳森·泰勒·托马...,
天堂电影院,9.2,733605,1988,"剧情, 爱情",朱塞佩·托纳多雷 Giuseppe Tornatore / 菲利普·努瓦雷 Philipp...,
饮食男女,9.2,713196,1994,"剧情, 家庭",李安 Ang Lee / 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,
辩护人,9.2,651606,2013,剧情,杨宇硕 Woo-seok Yang / 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,电影的现实意义大过电影本身。
本杰明·巴顿奇事,9.0,1092456,2008,"剧情, 爱情, 奇幻",大卫·芬奇 David Fincher / 布拉德·皮特 Brad Pitt / 凯特·布...,在时间之河里感受溺水之苦。
搏击俱乐部,9.0,959090,1999,"剧情, 动作, 悬疑, 惊悚",大卫·芬奇 David Fincher / 爱德华·诺顿 Edward Norton / 布拉...,
美丽心灵,9.1,845541,2001,"传记, 剧情",朗·霍华德 Ron Howard / 罗素·克劳 Russell Crowe / 艾德·哈...,
穿条纹睡衣的男孩,9.2,634266,2008,"剧情, 战争",马克·赫尔曼 Mark Herman / 阿萨·巴特菲尔德 Asa Butterfield ...,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
情书,8.9,1305884,1995,"剧情, 爱情",岩井俊二 Shunji Iwai / 中山美穗 Miho Nakayama / 丰川悦司 Ets...,
哈利·波特与死亡圣器(下),9.0,957657,2011,"奇幻, 冒险",大卫·叶茨 David Yates / 丹尼尔·雷德克里夫 Daniel Radcliffe...,10年的完美句点。
两杆大烟枪,9.1,668117,1998,"剧情, 喜剧, 犯罪",盖·里奇 Guy Ritchie / 杰森·弗莱明 Jason Flemyng / 德克斯特...,
窃听风暴,9.2,625420,2006,"剧情, 悬疑",,别样人生。
音乐之声,9.1,675894,1965,"剧情, 传记, 爱情, 歌舞",罗伯特·怀斯 Robert Wise / 朱莉·安德鲁斯 Julie Andrews / 克...,
功夫,8.9,1315879,2004,"动作, 喜剧, 犯罪, 奇幻",周星驰 Stephen Chow / 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
西西里的美丽传说,8.9,1082599,2000,"剧情, 战争, 情色",朱塞佩·托纳多雷 Giuseppe Tornatore / 莫妮卡·贝鲁奇 Monica ...,
哈利·波特与阿兹卡班的囚徒,9.0,877235,2004,"奇幻, 冒险",阿方索·卡隆 Alfonso Cuarón / 丹尼尔·雷德克里夫 Daniel Rad...,不一样的导演，不一样的哈利·波特。
阿凡达,8.8,1558013,2009,"动作, 科幻, 冒险",詹姆斯·卡梅隆 James Cameron / 萨姆·沃辛顿 Sam Worthington ...,绝对意义上的美轮美奂。
看不见的客人,8.8,1423444,2016,"剧情, 犯罪, 悬疑, 惊悚",奥里奥尔·保罗 Oriol Paulo / 马里奥·卡萨斯 Mario Casas / 阿...,你以为你以为的就是你以为的。
拯救大兵瑞恩,9.1,716978,1998,"剧情, 战争",史蒂文·斯皮尔伯格 Steven Spielberg / 汤姆·汉克斯 Tom Hanks...,
沉默的羔羊,8.9,1003385,1991,"剧情, 犯罪, 惊悚",乔纳森·戴米 Jonathan Demme / 朱迪·福斯特 Jodie Foster / 安...,
小鞋子,9.2,457774,1997,"剧情, 儿童, 家庭",马基德·马基迪 Majid Majidi / 默罕默德·阿米尔·纳吉 Mohamma...,
布达佩斯大饭店,8.9,1070833,2014,"剧情, 喜剧, 冒险",韦斯·安德森 Wes Anderson / 拉尔夫·费因斯 Ralph Fiennes / ...,小清新的故事里注入了大历史的情怀。
飞越疯人院,9.1,597543,1975,剧情,米洛斯·福尔曼 Miloš Forman / 杰克·尼科尔森 Jack Nichols...,
蝴蝶效应,8.9,1054996,2004,"剧情, 悬疑, 科幻, 惊悚",,人的命运被自己瞬间的抉择改变。
禁闭岛,8.9,1099480,2010,"剧情, 悬疑, 惊悚",Martin Scorsese / 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,昔日翩翩少年，今日大腹便便。
心灵捕手,9.0,805856,1997,剧情,格斯·范·桑特 Gus Van Sant / 马特·达蒙 Matt Damon / 罗宾·...,
致命魔术,8.9,953717,2006,"剧情, 悬疑, 惊悚",克里斯托弗·诺兰 Christopher Nolan / 休·杰克曼 Hugh Jackman...,孪生蝙蝠侠大战克隆金刚狼。
低俗小说,8.9,946667,1994,"剧情, 喜剧, 犯罪",昆汀·塔伦蒂诺 Quentin Tarantino / 约翰·特拉沃尔塔 John Tra...,
还有明天,9.3,344081,2023,"剧情, 喜剧, 历史",宝拉·柯特莱西 Paola Cortellesi / 宝拉·柯特莱西 Paola Corte...,
超脱,9.0,712758,2011,剧情,托尼·凯耶 Tony Kaye / 艾德里安·布洛迪 Adrien Brody / 马西...,穷尽一生，我们要学会的，不过是彼此拥抱。
哈利·波特与密室,8.9,902835,2002,"奇幻, 冒险",Chris Columbus / 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,
一一,9.1,494959,2000,"剧情, 爱情, 家庭",杨德昌 Edward Yang / 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,
喜剧之王,8.8,1082282,1999,"喜剧, 剧情, 爱情",周星驰 Stephen Chow / 李力持 Lik-Chi Lee / 周星驰 Stephen Ch...,
摩登时代,9.3,342126,1936,"剧情, 喜剧, 爱情",查理·卓别林 Charles Chaplin / 查理·卓别林 Charles Chaplin ...,
杀人回忆,8.9,825459,2003,"剧情, 动作, 犯罪, 悬疑, 惊悚",奉俊昊 Joon-ho Bong / 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,
致命ID,8.9,935410,2003,"剧情, 悬疑, 惊悚",詹姆斯·曼高德 James Mangold / 约翰·库萨克 John Cusack / 雷...,
春光乍泄,9.0,703248,1997,"剧情, 爱情, 同性",王家卫 Kar Wai Wong / 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,
加勒比海盗,8.8,957902,2003,"动作, 冒险, 奇幻",戈尔·维宾斯基 Gore Verbinski / 约翰尼·德普 Johnny Depp / ...,
海豚湾,9.3,379892,2009,纪录片,路易·西霍尤斯 Louie Psihoyos / 路易·西霍尤斯 Louie Psihoyo...,海豚的微笑，是世界上最高明的伪装。
美国往事,9.1,465972,1984,"犯罪, 剧情",赛尔乔·莱翁内 Sergio Leone / 罗伯特·德尼罗 Robert De Niro ...,
红辣椒,9.0,560184,2006,"动画, 悬疑, 科幻, 惊悚",今敏 Satoshi Kon / 林原惠美 Megumi Hayashibara / 江守彻 Toru...,梦的勾结。
七宗罪,8.8,1050085,1995,"剧情, 犯罪, 悬疑, 惊悚",大卫·芬奇 David Fincher / 摩根·弗里曼 Morgan Freeman / 布...,
唐伯虎点秋香,8.8,1211193,1993,"喜剧, 爱情, 古装",李力持 Lik-Chi Lee / 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,
狩猎,9.1,462817,2012,剧情,托马斯·温特伯格 Thomas Vinterberg / 麦斯·米科尔森 Mads Mik...,人言可畏。
幽灵公主,8.9,661226,1997,"动画, 奇幻, 冒险",宫崎骏 Hayao Miyazaki / 松田洋治 Yôji Matsuda / 石田百合...,
甜蜜蜜,8.9,663032,1996,"剧情, 爱情",陈可辛 Peter Chan / 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,
寄生虫,8.8,1532083,2019,剧情,奉俊昊 Joon-ho Bong / 宋康昊 Kang-ho Song / 李善均 Seon-gyun...,
蝙蝠侠：黑暗骑士崛起,8.9,805655,2012,"剧情, 动作, 科幻, 犯罪, 惊悚",克里斯托弗·诺兰 Christopher Nolan / 克里斯蒂安·贝尔 Christ...,诺兰就是保证。
天书奇谭,9.2,328808,0,未知,王树忱 Shuchen Wang / 钱运达 Yunda Qian / 丁建华 Jianhua Din...,
7号房的礼物,8.9,616344,2013,"剧情, 喜剧, 家庭",李焕庆 Hwan-kyeong Lee / 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,《我是山姆》的《美丽人生》。
超能陆战队,8.8,1133130,2014,"喜剧, 动作, 科幻, 动画, 冒险",唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams / 斯科特...,Balalala~~~
爱在黎明破晓前,8.8,789364,1995,"剧情, 爱情",理查德·林克莱特 Richard Linklater / 伊桑·霍克 Ethan Hawke ...,
第六感,8.9,629678,1999,"剧情, 悬疑, 惊悚",M·奈特·沙马兰 M. Night Shyamalan / 布鲁斯·威利斯 Bruce Wi...,
爱在日落黄昏时,8.9,645151,2004,"剧情, 爱情",理查德·林克莱特 Richard Linklater / 伊桑·霍克 Ethan Hawke ...,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
被嫌弃的松子的一生,8.8,768701,2006,"剧情, 歌舞",中岛哲也 Tetsuya Nakashima / 中谷美纪 Miki Nakatani / 瑛太 E...,以戏谑来戏谑戏谑。
茶馆,9.6,203074,0,未知,谢添 Tian Xie / 于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...,
重庆森林,8.8,914126,1994,"剧情, 爱情",王家卫 Kar Wai Wong / 林青霞 Brigitte Lin / 金城武 Takeshi K...,
哈利·波特与火焰杯,8.8,790257,2005,"悬疑, 奇幻, 冒险",迈克·内威尔 Mike Newell / 丹尼尔·雷德克里夫 Daniel Radclif...,
未麻的部屋,9.1,418281,1997,"剧情, 犯罪, 动画, 悬疑, 惊悚",今敏 Satoshi Kon / 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,
