,id,gender,age,hypertension,heart_disease,ever_married,work_type,Residence_type,avg_glucose_level,bmi,smoking_status,stroke
count,3426.0,3426.0,3426.0,3426.0,3426.0,3426.0,3426.0,3426.0,3426.0,3426.0,3426.0,3426.0
mean,37339.0061295972,0.3914185639229422,48.645942790426155,0.1190893169877408,0.060128429655575015,0.7586106246351431,1.9191476941039112,0.5093403385872738,108.32189141856392,30.290046701692937,0.674547577349679,0.05253940455341506
std,21049.97634530891,0.4887367018458841,18.85123883016855,0.3239408609039807,0.23775933577713187,0.4279883300725909,0.9278503389365951,0.4999857250999374,47.703540509603876,7.295958497139282,0.8062023344130846,0.22314468297882056
min,84.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,55.12,11.5,0.0,0.0
25%,18997.5,0.0,34.0,0.0,0.0,1.0,2.0,0.0,77.23750000000001,25.3,0.0,0.0
50%,38068.5,0.0,50.0,0.0,0.0,1.0,2.0,1.0,92.36,29.1,0.0,0.0
75%,55464.25,1.0,63.0,0.0,0.0,1.0,2.0,1.0,116.2075,34.1,1.0,0.0
max,72915.0,2.0,82.0,1.0,1.0,1.0,4.0,1.0,271.74,92.0,2.0,1.0
